0 0 0
1 0 0
2 2 2
3 6 6
4 15 15
5 34 34
6 70 70
7 132 132
8 231 231
9 380 380
10 594 594
11 890 890
12 1287 1287
13 1806 1806
14 2470 2470
15 3304 3304
16 4335 4335
17 5592 5592
18 7106 7106
19 8910 8910
20 11039 11039
21 13530 13530
22 16422 16422
23 19756 19756
