0 0 0
1 0 0
2 4 4
3 12 10
4 25 17
5 39 21
6 53 23
7 67 25
8 81 27
9 95 29
10 109 31
11 123 33
12 137 35
13 151 37
14 165 39
15 179 41
16 193 43
17 207 45
18 221 47
19 235 49
20 249 51
21 263 53
22 277 55
23 291 57
24 305 59
25 319 61
26 333 63
27 347 65
28 361 67
29 375 69
30 389 71
31 403 73
32 417 75
33 431 77
34 445 79
35 459 81
36 473 83
37 487 85
38 501 87
39 515 89
40 529 91
41 543 93
42 557 95
43 571 97
44 585 99
45 599 101
46 613 103
47 627 105
48 641 107
49 655 109
50 669 111
51 683 113
52 697 115
53 711 117
54 725 119
55 739 121
56 753 123
57 767 125
58 781 127
59 795 129
60 809 131
61 823 133
62 837 135
63 851 137
64 865 139
65 879 141
66 893 143
67 907 145
68 921 147
69 935 149
70 949 151
71 963 153
72 977 155
73 991 157
74 1005 159
75 1019 161
76 1033 163
77 1047 165
78 1061 167
79 1075 169
80 1089 171
81 1103 173
82 1117 175
83 1131 177
84 1145 179
85 1159 181
86 1173 183
87 1187 185
88 1201 187
89 1215 189
90 1229 191
91 1243 193
92 1257 195
93 1271 197
94 1285 199
95 1299 201
96 1313 203
97 1327 205
98 1341 207
99 1355 209
100 1369 211
101 1383 213
102 1397 215
103 1411 217
